,time
351,2010-12-18
352,2010-12-19
353,2010-12-20
354,2010-12-21
355,2010-12-22
356,2010-12-23
357,2010-12-24
358,2010-12-25
359,2010-12-26
360,2010-12-27
361,2010-12-28
362,2010-12-29
363,2010-12-30
364,2010-12-31
365,2011-01-01
366,2011-01-02
367,2011-01-03
368,2011-01-04
369,2011-01-05
370,2011-01-06
371,2011-01-07
372,2011-01-08
373,2011-01-09
374,2011-01-10
375,2011-01-11
376,2011-01-12
377,2011-01-13
378,2011-01-14
379,2011-01-15
380,2011-01-16
381,2011-01-17
382,2011-01-18
383,2011-01-19
384,2011-01-20
385,2011-01-21
386,2011-01-22
387,2011-01-23
388,2011-01-24
389,2011-01-25
390,2011-01-26
391,2011-01-27
392,2011-01-28
393,2011-01-29
394,2011-01-30
395,2011-01-31
396,2011-02-01
397,2011-02-02
398,2011-02-03
399,2011-02-04
400,2011-02-05
401,2011-02-06
402,2011-02-07
403,2011-02-08
404,2011-02-09
405,2011-02-10
406,2011-02-11
407,2011-02-12
408,2011-02-13
409,2011-02-14
410,2011-02-15
411,2011-02-16
412,2011-02-17
413,2011-02-18
414,2011-02-19
415,2011-02-20
416,2011-02-21
417,2011-02-22
418,2011-02-23
419,2011-02-24
420,2011-02-25
421,2011-02-26
422,2011-02-27
423,2011-02-28
424,2011-03-01
425,2011-03-02
426,2011-03-03
427,2011-03-04
428,2011-03-05
429,2011-03-06
430,2011-03-07
431,2011-03-08
432,2011-03-09
433,2011-03-10
434,2011-03-11
435,2011-03-12
436,2011-03-13
437,2011-03-14
438,2011-03-15
439,2011-03-16
440,2011-03-17
441,2011-03-18
442,2011-03-19
443,2011-03-20
444,2011-03-21
445,2011-03-22
446,2011-03-23
447,2011-03-24
448,2011-03-25
449,2011-03-26
450,2011-03-27
451,2011-03-28
452,2011-03-29
453,2011-03-30
454,2011-03-31
455,2011-04-01
456,2011-04-02
457,2011-04-03
458,2011-04-04
459,2011-04-05
460,2011-04-06
461,2011-04-07
462,2011-04-08
463,2011-04-09
464,2011-04-10
465,2011-04-11
466,2011-04-12
467,2011-04-13
468,2011-04-14
469,2011-04-15
470,2011-04-16
471,2011-04-17
472,2011-04-18
473,2011-04-19
474,2011-04-20
475,2011-04-21
476,2011-04-22
477,2011-04-23
478,2011-04-24
479,2011-04-25
480,2011-04-26
481,2011-04-27
482,2011-04-28
483,2011-04-29
484,2011-04-30
485,2011-05-01
486,2011-05-02
487,2011-05-03
488,2011-05-04
489,2011-05-05
490,2011-05-06
491,2011-05-07
492,2011-05-08
493,2011-05-09
494,2011-05-10
495,2011-05-11
496,2011-05-12
497,2011-05-13
498,2011-05-14
499,2011-05-15
500,2011-05-16
501,2011-05-17
502,2011-05-18
503,2011-05-19
504,2011-05-20
505,2011-05-21
506,2011-05-22
507,2011-05-23
508,2011-05-24
509,2011-05-25
510,2011-05-26
511,2011-05-27
512,2011-05-28
513,2011-05-29
514,2011-05-30
515,2011-05-31
516,2011-06-01
517,2011-06-02
518,2011-06-03
519,2011-06-04
520,2011-06-05
521,2011-06-06
522,2011-06-07
523,2011-06-08
524,2011-06-09
525,2011-06-10
526,2011-06-11
527,2011-06-12
528,2011-06-13
529,2011-06-14
530,2011-06-15
531,2011-06-16
532,2011-06-17
533,2011-06-18
534,2011-06-19
535,2011-06-20
536,2011-06-21
537,2011-06-22
538,2011-06-23
539,2011-06-24
540,2011-06-25
541,2011-06-26
542,2011-06-27
543,2011-06-28
544,2011-06-29
545,2011-06-30
546,2011-07-01
547,2011-07-02
548,2011-07-03
549,2011-07-04
550,2011-07-05
551,2011-07-06
552,2011-07-07
553,2011-07-08
554,2011-07-09
555,2011-07-10
556,2011-07-11
557,2011-07-12
558,2011-07-13
559,2011-07-14
560,2011-07-15
561,2011-07-16
562,2011-07-17
563,2011-07-18
564,2011-07-19
565,2011-07-20
566,2011-07-21
567,2011-07-22
568,2011-07-23
569,2011-07-24
570,2011-07-25
571,2011-07-26
572,2011-07-27
573,2011-07-28
574,2011-07-29
575,2011-07-30
576,2011-07-31
577,2011-08-01
578,2011-08-02
579,2011-08-03
580,2011-08-04
581,2011-08-05
582,2011-08-06
583,2011-08-07
584,2011-08-08
585,2011-08-09
586,2011-08-10
587,2011-08-11
588,2011-08-12
589,2011-08-13
590,2011-08-14
591,2011-08-15
592,2011-08-16
593,2011-08-17
594,2011-08-18
595,2011-08-19
596,2011-08-20
597,2011-08-21
598,2011-08-22
599,2011-08-23
600,2011-08-24
601,2011-08-25
602,2011-08-26
603,2011-08-27
604,2011-08-28
605,2011-08-29
606,2011-08-30
607,2011-08-31
608,2011-09-01
609,2011-09-02
610,2011-09-03
611,2011-09-04
612,2011-09-05
613,2011-09-06
614,2011-09-07
615,2011-09-08
616,2011-09-09
617,2011-09-10
618,2011-09-11
619,2011-09-12
620,2011-09-13
621,2011-09-14
622,2011-09-15
623,2011-09-16
624,2011-09-17
625,2011-09-18
626,2011-09-19
627,2011-09-20
628,2011-09-21
629,2011-09-22
630,2011-09-23
631,2011-09-24
632,2011-09-25
633,2011-09-26
634,2011-09-27
635,2011-09-28
636,2011-09-29
637,2011-09-30
638,2011-10-01
639,2011-10-02
640,2011-10-03
641,2011-10-04
642,2011-10-05
643,2011-10-06
644,2011-10-07
645,2011-10-08
646,2011-10-09
647,2011-10-10
648,2011-10-11
649,2011-10-12
650,2011-10-13
651,2011-10-14
652,2011-10-15
653,2011-10-16
654,2011-10-17
655,2011-10-18
656,2011-10-19
657,2011-10-20
658,2011-10-21
659,2011-10-22
660,2011-10-23
661,2011-10-24
662,2011-10-25
663,2011-10-26
664,2011-10-27
665,2011-10-28
666,2011-10-29
667,2011-10-30
668,2011-10-31
669,2011-11-01
670,2011-11-02
671,2011-11-03
672,2011-11-04
673,2011-11-05
674,2011-11-06
675,2011-11-07
676,2011-11-08
677,2011-11-09
678,2011-11-10
679,2011-11-11
680,2011-11-12
681,2011-11-13
682,2011-11-14
683,2011-11-15
684,2011-11-16
685,2011-11-17
686,2011-11-18
687,2011-11-19
688,2011-11-20
689,2011-11-21
690,2011-11-22
691,2011-11-23
692,2011-11-24
693,2011-11-25
694,2011-11-26
695,2011-11-27
696,2011-11-28
697,2011-11-29
698,2011-11-30
699,2011-12-01
700,2011-12-02
701,2011-12-03
702,2011-12-04
703,2011-12-05
704,2011-12-06
705,2011-12-07
706,2011-12-08
707,2011-12-09
708,2011-12-10
709,2011-12-11
710,2011-12-12
711,2011-12-13
712,2011-12-14
713,2011-12-15
714,2011-12-16
715,2011-12-17
716,2011-12-18
717,2011-12-19
718,2011-12-20
719,2011-12-21
720,2011-12-22
721,2011-12-23
722,2011-12-24
723,2011-12-25
724,2011-12-26
725,2011-12-27
726,2011-12-28
727,2011-12-29
728,2011-12-30
729,2011-12-31
730,2012-01-01
731,2012-01-02
732,2012-01-03
733,2012-01-04
734,2012-01-05
735,2012-01-06
736,2012-01-07
737,2012-01-08
738,2012-01-09
739,2012-01-10
740,2012-01-11
741,2012-01-12
742,2012-01-13
743,2012-01-14
744,2012-01-15
745,2012-01-16
746,2012-01-17
747,2012-01-18
748,2012-01-19
749,2012-01-20
750,2012-01-21
751,2012-01-22
752,2012-01-23
753,2012-01-24
754,2012-01-25
755,2012-01-26
756,2012-01-27
757,2012-01-28
758,2012-01-29
759,2012-01-30
760,2012-01-31
761,2012-02-01
762,2012-02-02
763,2012-02-03
764,2012-02-04
765,2012-02-05
766,2012-02-06
767,2012-02-07
768,2012-02-08
769,2012-02-09
770,2012-02-10
771,2012-02-11
772,2012-02-12
773,2012-02-13
774,2012-02-14
775,2012-02-15
776,2012-02-16
777,2012-02-17
778,2012-02-18
779,2012-02-19
780,2012-02-20
781,2012-02-21
782,2012-02-22
783,2012-02-23
784,2012-02-24
785,2012-02-25
786,2012-02-26
787,2012-02-27
788,2012-02-28
789,2012-02-29
790,2012-03-01
791,2012-03-02
792,2012-03-03
793,2012-03-04
794,2012-03-05
795,2012-03-06
796,2012-03-07
797,2012-03-08
798,2012-03-09
799,2012-03-10
800,2012-03-11
801,2012-03-12
802,2012-03-13
803,2012-03-14
804,2012-03-15
805,2012-03-16
806,2012-03-17
807,2012-03-18
808,2012-03-19
809,2012-03-20
810,2012-03-21
811,2012-03-22
812,2012-03-23
813,2012-03-24
814,2012-03-25
815,2012-03-26
816,2012-03-27
817,2012-03-28
818,2012-03-29
819,2012-03-30
820,2012-03-31
821,2012-04-01
822,2012-04-02
823,2012-04-03
824,2012-04-04
825,2012-04-05
826,2012-04-06
827,2012-04-07
828,2012-04-08
829,2012-04-09
830,2012-04-10
831,2012-04-11
832,2012-04-12
833,2012-04-13
834,2012-04-14
835,2012-04-15
836,2012-04-16
837,2012-04-17
838,2012-04-18
839,2012-04-19
840,2012-04-20
841,2012-04-21
842,2012-04-22
843,2012-04-23
844,2012-04-24
845,2012-04-25
846,2012-04-26
847,2012-04-27
848,2012-04-28
849,2012-04-29
850,2012-04-30
851,2012-05-01
852,2012-05-02
853,2012-05-03
854,2012-05-04
855,2012-05-05
856,2012-05-06
857,2012-05-07
858,2012-05-08
859,2012-05-09
860,2012-05-10
861,2012-05-11
862,2012-05-12
863,2012-05-13
864,2012-05-14
865,2012-05-15
866,2012-05-16
867,2012-05-17
868,2012-05-18
869,2012-05-19
870,2012-05-20
871,2012-05-21
872,2012-05-22
873,2012-05-23
874,2012-05-24
875,2012-05-25
876,2012-05-26
877,2012-05-27
878,2012-05-28
879,2012-05-29
880,2012-05-30
881,2012-05-31
882,2012-06-01
883,2012-06-02
884,2012-06-03
885,2012-06-04
886,2012-06-05
887,2012-06-06
888,2012-06-07
889,2012-06-08
890,2012-06-09
891,2012-06-10
892,2012-06-11
893,2012-06-12
894,2012-06-13
895,2012-06-14
896,2012-06-15
897,2012-06-16
898,2012-06-17
899,2012-06-18
900,2012-06-19
901,2012-06-20
902,2012-06-21
903,2012-06-22
904,2012-06-23
905,2012-06-24
906,2012-06-25
907,2012-06-26
908,2012-06-27
909,2012-06-28
910,2012-06-29
911,2012-06-30
912,2012-07-01
913,2012-07-02
914,2012-07-03
915,2012-07-04
916,2012-07-05
917,2012-07-06
918,2012-07-07
919,2012-07-08
920,2012-07-09
921,2012-07-10
922,2012-07-11
923,2012-07-12
924,2012-07-13
925,2012-07-14
926,2012-07-15
927,2012-07-16
928,2012-07-17
929,2012-07-18
930,2012-07-19
931,2012-07-20
932,2012-07-21
933,2012-07-22
934,2012-07-23
935,2012-07-24
936,2012-07-25
937,2012-07-26
938,2012-07-27
939,2012-07-28
940,2012-07-29
941,2012-07-30
942,2012-07-31
943,2012-08-01
944,2012-08-02
945,2012-08-03
946,2012-08-04
947,2012-08-05
948,2012-08-06
949,2012-08-07
950,2012-08-08
951,2012-08-09
952,2012-08-10
953,2012-08-11
954,2012-08-12
955,2012-08-13
956,2012-08-14
957,2012-08-15
958,2012-08-16
959,2012-08-17
960,2012-08-18
961,2012-08-19
962,2012-08-20
963,2012-08-21
964,2012-08-22
965,2012-08-23
966,2012-08-24
967,2012-08-25
968,2012-08-26
969,2012-08-27
970,2012-08-28
971,2012-08-29
972,2012-08-30
973,2012-08-31
974,2012-09-01
975,2012-09-02
976,2012-09-03
977,2012-09-04
978,2012-09-05
979,2012-09-06
980,2012-09-07
981,2012-09-08
982,2012-09-09
983,2012-09-10
984,2012-09-11
985,2012-09-12
986,2012-09-13
987,2012-09-14
988,2012-09-15
989,2012-09-16
990,2012-09-17
991,2012-09-18
992,2012-09-19
993,2012-09-20
994,2012-09-21
995,2012-09-22
996,2012-09-23
997,2012-09-24
998,2012-09-25
999,2012-09-26
1000,2012-09-27
1001,2012-09-28
1002,2012-09-29
1003,2012-09-30
1004,2012-10-01
1005,2012-10-02
1006,2012-10-03
1007,2012-10-04
1008,2012-10-05
1009,2012-10-06
1010,2012-10-07
1011,2012-10-08
1012,2012-10-09
1013,2012-10-10
1014,2012-10-11
1015,2012-10-12
1016,2012-10-13
1017,2012-10-14
1018,2012-10-15
1019,2012-10-16
1020,2012-10-17
1021,2012-10-18
1022,2012-10-19
1023,2012-10-20
1024,2012-10-21
1025,2012-10-22
1026,2012-10-23
1027,2012-10-24
1028,2012-10-25
1029,2012-10-26
1030,2012-10-27
1031,2012-10-28
1032,2012-10-29
1033,2012-10-30
1034,2012-10-31
1035,2012-11-01
1036,2012-11-02
1037,2012-11-03
1038,2012-11-04
1039,2012-11-05
1040,2012-11-06
1041,2012-11-07
1042,2012-11-08
1043,2012-11-09
1044,2012-11-10
1045,2012-11-11
1046,2012-11-12
1047,2012-11-13
1048,2012-11-14
1049,2012-11-15
1050,2012-11-16
1051,2012-11-17
1052,2012-11-18
1053,2012-11-19
1054,2012-11-20
1055,2012-11-21
1056,2012-11-22
1057,2012-11-23
1058,2012-11-24
1059,2012-11-25
1060,2012-11-26
1061,2012-11-27
1062,2012-11-28
1063,2012-11-29
1064,2012-11-30
1065,2012-12-01
1066,2012-12-02
1067,2012-12-03
1068,2012-12-04
1069,2012-12-05
1070,2012-12-06
1071,2012-12-07
1072,2012-12-08
1073,2012-12-09
1074,2012-12-10
1075,2012-12-11
1076,2012-12-12
1077,2012-12-13
1078,2012-12-14
1079,2012-12-15
1080,2012-12-16
1081,2012-12-17
1082,2012-12-18
1083,2012-12-19
1084,2012-12-20
1085,2012-12-21
1086,2012-12-22
1087,2012-12-23
1088,2012-12-24
1089,2012-12-25
1090,2012-12-26
1091,2012-12-27
1092,2012-12-28
1093,2012-12-29
1094,2012-12-30
1095,2012-12-31
1096,2013-01-01
1097,2013-01-02
1098,2013-01-03
1099,2013-01-04
1100,2013-01-05
1101,2013-01-06
1102,2013-01-07
1103,2013-01-08
1104,2013-01-09
1105,2013-01-10
1106,2013-01-11
1107,2013-01-12
1108,2013-01-13
1109,2013-01-14
1110,2013-01-15
1111,2013-01-16
1112,2013-01-17
1113,2013-01-18
1114,2013-01-19
1115,2013-01-20
1116,2013-01-21
1117,2013-01-22
1118,2013-01-23
1119,2013-01-24
1120,2013-01-25
1121,2013-01-26
1122,2013-01-27
1123,2013-01-28
1124,2013-01-29
1125,2013-01-30
1126,2013-01-31
1127,2013-02-01
1128,2013-02-02
1129,2013-02-03
1130,2013-02-04
1131,2013-02-05
1132,2013-02-06
1133,2013-02-07
1134,2013-02-08
1135,2013-02-09
1136,2013-02-10
1137,2013-02-11
1138,2013-02-12
1139,2013-02-13
1140,2013-02-14
1141,2013-02-15
1142,2013-02-16
1143,2013-02-17
1144,2013-02-18
1145,2013-02-19
1146,2013-02-20
1147,2013-02-21
1148,2013-02-22
1149,2013-02-23
1150,2013-02-24
1151,2013-02-25
1152,2013-02-26
1153,2013-02-27
1154,2013-02-28
1155,2013-03-01
1156,2013-03-02
1157,2013-03-03
1158,2013-03-04
1159,2013-03-05
1160,2013-03-06
1161,2013-03-07
1162,2013-03-08
1163,2013-03-09
1164,2013-03-10
1165,2013-03-11
1166,2013-03-12
1167,2013-03-13
1168,2013-03-14
1169,2013-03-15
1170,2013-03-16
1171,2013-03-17
1172,2013-03-18
1173,2013-03-19
1174,2013-03-20
1175,2013-03-21
1176,2013-03-22
1177,2013-03-23
1178,2013-03-24
1179,2013-03-25
1180,2013-03-26
1181,2013-03-27
1182,2013-03-28
1183,2013-03-29
1184,2013-03-30
1185,2013-03-31
1186,2013-04-01
1187,2013-04-02
1188,2013-04-03
1189,2013-04-04
1190,2013-04-05
1191,2013-04-06
1192,2013-04-07
1193,2013-04-08
1194,2013-04-09
1195,2013-04-10
1196,2013-04-11
1197,2013-04-12
1198,2013-04-13
1199,2013-04-14
1200,2013-04-15
1201,2013-04-16
1202,2013-04-17
1203,2013-04-18
1204,2013-04-19
1205,2013-04-20
1206,2013-04-21
1207,2013-04-22
1208,2013-04-23
1209,2013-04-24
1210,2013-04-25
1211,2013-04-26
1212,2013-04-27
1213,2013-04-28
1214,2013-04-29
1215,2013-04-30
1216,2013-05-01
1217,2013-05-02
1218,2013-05-03
1219,2013-05-04
1220,2013-05-05
1221,2013-05-06
1222,2013-05-07
1223,2013-05-08
1224,2013-05-09
1225,2013-05-10
1226,2013-05-11
1227,2013-05-12
1228,2013-05-13
1229,2013-05-14
1230,2013-05-15
1231,2013-05-16
1232,2013-05-17
1233,2013-05-18
1234,2013-05-19
1235,2013-05-20
1236,2013-05-21
1237,2013-05-22
1238,2013-05-23
1239,2013-05-24
1240,2013-05-25
1241,2013-05-26
1242,2013-05-27
1243,2013-05-28
1244,2013-05-29
1245,2013-05-30
1246,2013-05-31
1247,2013-06-01
1248,2013-06-02
1249,2013-06-03
1250,2013-06-04
1251,2013-06-05
1252,2013-06-06
1253,2013-06-07
1254,2013-06-08
1255,2013-06-09
1256,2013-06-10
1257,2013-06-11
1258,2013-06-12
1259,2013-06-13
1260,2013-06-14
1261,2013-06-15
1262,2013-06-16
1263,2013-06-17
1264,2013-06-18
1265,2013-06-19
1266,2013-06-20
1267,2013-06-21
1268,2013-06-22
1269,2013-06-23
1270,2013-06-24
1271,2013-06-25
1272,2013-06-26
1273,2013-06-27
1274,2013-06-28
1275,2013-06-29
1276,2013-06-30
1277,2013-07-01
1278,2013-07-02
1279,2013-07-03
1280,2013-07-04
1281,2013-07-05
1282,2013-07-06
1283,2013-07-07
1284,2013-07-08
1285,2013-07-09
1286,2013-07-10
1287,2013-07-11
1288,2013-07-12
1289,2013-07-13
1290,2013-07-14
1291,2013-07-15
1292,2013-07-16
1293,2013-07-17
1294,2013-07-18
1295,2013-07-19
1296,2013-07-20
1297,2013-07-21
1298,2013-07-22
1299,2013-07-23
1300,2013-07-24
1301,2013-07-25
1302,2013-07-26
1303,2013-07-27
1304,2013-07-28
1305,2013-07-29
1306,2013-07-30
1307,2013-07-31
1308,2013-08-01
1309,2013-08-02
1310,2013-08-03
1311,2013-08-04
1312,2013-08-05
1313,2013-08-06
1314,2013-08-07
1315,2013-08-08
1316,2013-08-09
1317,2013-08-10
1318,2013-08-11
1319,2013-08-12
1320,2013-08-13
1321,2013-08-14
1322,2013-08-15
1323,2013-08-16
1324,2013-08-17
1325,2013-08-18
1326,2013-08-19
1327,2013-08-20
1328,2013-08-21
1329,2013-08-22
1330,2013-08-23
1331,2013-08-24
1332,2013-08-25
1333,2013-08-26
1334,2013-08-27
1335,2013-08-28
1336,2013-08-29
1337,2013-08-30
1338,2013-08-31
1339,2013-09-01
1340,2013-09-02
1341,2013-09-03
1342,2013-09-04
1343,2013-09-05
1344,2013-09-06
1345,2013-09-07
1346,2013-09-08
1347,2013-09-09
1348,2013-09-10
1349,2013-09-11
1350,2013-09-12
1351,2013-09-13
1352,2013-09-14
1353,2013-09-15
1354,2013-09-16
1355,2013-09-17
1356,2013-09-18
1357,2013-09-19
1358,2013-09-20
1359,2013-09-21
1360,2013-09-22
1361,2013-09-23
1362,2013-09-24
1363,2013-09-25
1364,2013-09-26
1365,2013-09-27
1366,2013-09-28
1367,2013-09-29
1368,2013-09-30
1369,2013-10-01
1370,2013-10-02
1371,2013-10-03
1372,2013-10-04
1373,2013-10-05
1374,2013-10-06
1375,2013-10-07
1376,2013-10-08
1377,2013-10-09
1378,2013-10-10
1379,2013-10-11
1380,2013-10-12
1381,2013-10-13
1382,2013-10-14
1383,2013-10-15
1384,2013-10-16
1385,2013-10-17
1386,2013-10-18
1387,2013-10-19
1388,2013-10-20
1389,2013-10-21
1390,2013-10-22
1391,2013-10-23
1392,2013-10-24
1393,2013-10-25
1394,2013-10-26
1395,2013-10-27
1396,2013-10-28
1397,2013-10-29
1398,2013-10-30
1399,2013-10-31
1400,2013-11-01
1401,2013-11-02
1402,2013-11-03
1403,2013-11-04
1404,2013-11-05
1405,2013-11-06
1406,2013-11-07
1407,2013-11-08
1408,2013-11-09
1409,2013-11-10
1410,2013-11-11
1411,2013-11-12
1412,2013-11-13
1413,2013-11-14
1414,2013-11-15
1415,2013-11-16
1416,2013-11-17
1417,2013-11-18
1418,2013-11-19
1419,2013-11-20
1420,2013-11-21
1421,2013-11-22
1422,2013-11-23
1423,2013-11-24
1424,2013-11-25
1425,2013-11-26
1426,2013-11-27
1427,2013-11-28
1428,2013-11-29
1429,2013-11-30
1430,2013-12-01
1431,2013-12-02
1432,2013-12-03
1433,2013-12-04
1434,2013-12-05
1435,2013-12-06
1436,2013-12-07
1437,2013-12-08
1438,2013-12-09
1439,2013-12-10
1440,2013-12-11
1441,2013-12-12
1442,2013-12-13
1443,2013-12-14
1444,2013-12-15
1445,2013-12-16
1446,2013-12-17
1447,2013-12-18
1448,2013-12-19
1449,2013-12-20
1450,2013-12-21
1451,2013-12-22
1452,2013-12-23
1453,2013-12-24
1454,2013-12-25
1455,2013-12-26
1456,2013-12-27
1457,2013-12-28
1458,2013-12-29
1459,2013-12-30
1460,2013-12-31
1461,2014-01-01
1462,2014-01-02
1463,2014-01-03
1464,2014-01-04
1465,2014-01-05
1466,2014-01-06
1467,2014-01-07
1468,2014-01-08
1469,2014-01-09
1470,2014-01-10
1471,2014-01-11
1472,2014-01-12
1473,2014-01-13
1474,2014-01-14
1475,2014-01-15
1476,2014-01-16
1477,2014-01-17
1478,2014-01-18
1479,2014-01-19
1480,2014-01-20
1481,2014-01-21
1482,2014-01-22
1483,2014-01-23
1484,2014-01-24
1485,2014-01-25
1486,2014-01-26
1487,2014-01-27
1488,2014-01-28
1489,2014-01-29
1490,2014-01-30
1491,2014-01-31
1492,2014-02-01
1493,2014-02-02
1494,2014-02-03
1495,2014-02-04
1496,2014-02-05
1497,2014-02-06
1498,2014-02-07
