,Date Local
0,2013-01-01
1,2013-01-02
2,2013-01-03
3,2013-01-04
4,2013-01-05
5,2013-01-06
6,2013-01-07
7,2013-01-08
8,2013-01-09
9,2013-01-10
10,2013-01-11
11,2013-01-12
12,2013-01-13
13,2013-01-14
14,2013-01-15
15,2013-01-16
16,2013-01-17
17,2013-01-18
18,2013-01-19
19,2013-01-20
20,2013-01-21
21,2013-01-22
22,2013-01-23
23,2013-01-24
24,2013-01-25
25,2013-01-26
26,2013-01-27
27,2013-01-28
28,2013-01-29
29,2013-01-30
30,2013-01-31
31,2013-02-01
32,2013-02-02
33,2013-02-03
34,2013-02-04
35,2013-02-05
36,2013-02-06
37,2013-02-07
38,2013-02-08
39,2013-02-09
40,2013-02-10
41,2013-02-11
42,2013-02-12
43,2013-02-13
44,2013-02-14
45,2013-02-15
46,2013-02-16
47,2013-02-17
48,2013-02-18
49,2013-02-19
50,2013-02-20
51,2013-02-21
52,2013-02-22
53,2013-02-23
54,2013-02-24
55,2013-02-25
56,2013-02-26
57,2013-02-27
58,2013-02-28
59,2013-03-01
60,2013-03-02
61,2013-03-03
62,2013-03-04
63,2013-03-05
64,2013-03-06
65,2013-03-07
66,2013-03-08
67,2013-03-09
68,2013-03-10
69,2013-03-11
70,2013-03-12
71,2013-03-13
72,2013-03-14
73,2013-03-15
74,2013-03-16
75,2013-03-17
76,2013-03-18
77,2013-03-19
78,2013-03-20
79,2013-03-21
80,2013-03-22
81,2013-03-23
82,2013-03-24
83,2013-03-25
84,2013-03-26
85,2013-03-27
86,2013-03-28
87,2013-03-29
88,2013-03-30
89,2013-03-31
90,2013-04-01
91,2013-04-02
92,2013-04-03
93,2013-04-04
94,2013-04-05
95,2013-04-06
96,2013-04-07
97,2013-04-08
98,2013-04-09
99,2013-04-10
100,2013-04-11
101,2013-04-12
102,2013-04-13
103,2013-04-14
104,2013-04-15
105,2013-04-16
106,2013-04-17
107,2013-04-18
108,2013-04-19
109,2013-04-20
110,2013-04-21
111,2013-04-22
112,2013-04-23
113,2013-04-24
114,2013-04-25
115,2013-04-26
116,2013-04-27
117,2013-04-28
118,2013-04-29
119,2013-04-30
120,2013-05-01
121,2013-05-02
122,2013-05-03
123,2013-05-04
124,2013-05-05
125,2013-05-06
126,2013-05-07
127,2013-05-08
128,2013-05-09
129,2013-05-10
130,2013-05-11
131,2013-05-12
132,2013-05-13
133,2013-05-14
134,2013-05-15
135,2013-05-16
136,2013-05-17
137,2013-05-18
138,2013-05-19
139,2013-05-20
140,2013-05-21
141,2013-05-22
142,2013-05-23
143,2013-05-24
144,2013-05-25
145,2013-05-26
146,2013-05-27
147,2013-05-28
148,2013-05-29
149,2013-05-30
150,2013-05-31
151,2013-06-01
152,2013-06-02
153,2013-06-03
154,2013-06-04
155,2013-06-05
156,2013-06-06
157,2013-06-07
158,2013-06-08
159,2013-06-09
160,2013-06-10
161,2013-06-11
162,2013-06-12
163,2013-06-13
164,2013-06-14
165,2013-06-15
166,2013-06-16
167,2013-06-17
168,2013-06-18
169,2013-06-19
170,2013-06-20
171,2013-06-21
172,2013-06-22
173,2013-06-23
174,2013-06-24
175,2013-06-25
176,2013-06-26
177,2013-06-27
178,2013-06-28
179,2013-06-29
180,2013-06-30
181,2013-07-01
182,2013-07-02
183,2013-07-03
184,2013-07-04
185,2013-07-05
186,2013-07-06
187,2013-07-07
188,2013-07-08
189,2013-07-09
190,2013-07-10
191,2013-07-11
192,2013-07-12
193,2013-07-13
194,2013-07-14
195,2013-07-15
196,2013-07-16
197,2013-07-17
198,2013-07-18
199,2013-07-19
200,2013-07-20
201,2013-07-21
202,2013-07-22
203,2013-07-23
204,2013-07-24
205,2013-07-25
206,2013-07-26
207,2013-07-27
208,2013-07-28
209,2013-07-29
210,2013-07-30
211,2013-07-31
212,2013-08-01
213,2013-08-02
214,2013-08-03
215,2013-08-04
216,2013-08-05
217,2013-08-06
218,2013-08-07
219,2013-08-08
220,2013-08-09
221,2013-08-10
222,2013-08-11
223,2013-08-12
224,2013-08-13
225,2013-08-14
226,2013-08-15
227,2013-08-16
228,2013-08-17
229,2013-08-18
230,2013-08-19
231,2013-08-20
232,2013-08-21
233,2013-08-22
234,2013-08-23
235,2013-08-24
236,2013-08-25
237,2013-08-26
238,2013-08-27
239,2013-08-28
240,2013-08-29
