,Date
0,2011-01-01
1,2011-01-02
2,2011-01-03
3,2011-01-04
4,2011-01-05
5,2011-01-06
6,2011-01-07
7,2011-01-08
8,2011-01-09
9,2011-01-10
10,2011-01-11
11,2011-01-12
12,2011-01-13
13,2011-01-14
14,2011-01-15
15,2011-01-16
16,2011-01-17
17,2011-01-18
18,2011-01-19
19,2011-01-20
20,2011-01-21
21,2011-01-22
22,2011-01-23
23,2011-01-24
24,2011-01-25
25,2011-01-26
26,2011-01-27
27,2011-01-28
28,2011-01-29
29,2011-01-30
30,2011-01-31
31,2011-02-01
32,2011-02-02
33,2011-02-03
34,2011-02-04
35,2011-02-05
36,2011-02-06
37,2011-02-07
38,2011-02-08
39,2011-02-09
40,2011-02-10
41,2011-02-11
42,2011-02-12
43,2011-02-13
44,2011-02-14
45,2011-02-15
46,2011-02-16
47,2011-02-17
48,2011-02-18
49,2011-02-19
50,2011-02-20
51,2011-02-21
52,2011-02-22
53,2011-02-23
54,2011-02-24
55,2011-02-25
56,2011-02-26
57,2011-02-27
58,2011-02-28
59,2011-03-01
60,2011-03-02
61,2011-03-03
62,2011-03-04
63,2011-03-05
64,2011-03-06
65,2011-03-07
66,2011-03-08
67,2011-03-09
68,2011-03-10
69,2011-03-11
70,2011-03-12
71,2011-03-13
72,2011-03-14
73,2011-03-15
74,2011-03-16
75,2011-03-17
76,2011-03-18
77,2011-03-19
78,2011-03-20
79,2011-03-21
80,2011-03-22
81,2011-03-23
82,2011-03-24
83,2011-03-25
84,2011-03-26
85,2011-03-27
86,2011-03-28
87,2011-03-29
88,2011-03-30
89,2011-03-31
90,2011-04-01
91,2011-04-02
92,2011-04-03
93,2011-04-04
94,2011-04-05
95,2011-04-06
96,2011-04-07
97,2011-04-08
98,2011-04-09
99,2011-04-10
100,2011-04-11
101,2011-04-12
102,2011-04-13
103,2011-04-14
104,2011-04-15
105,2011-04-16
106,2011-04-17
107,2011-04-18
108,2011-04-19
109,2011-04-20
110,2011-04-21
111,2011-04-22
112,2011-04-23
113,2011-04-24
114,2011-04-25
115,2011-04-26
116,2011-04-27
117,2011-04-28
118,2011-04-29
119,2011-04-30
120,2011-05-01
121,2011-05-02
122,2011-05-03
123,2011-05-04
124,2011-05-05
125,2011-05-06
126,2011-05-07
127,2011-05-08
128,2011-05-09
129,2011-05-10
130,2011-05-11
131,2011-05-12
132,2011-05-13
133,2011-05-14
134,2011-05-15
135,2011-05-16
136,2011-05-17
137,2011-05-18
138,2011-05-19
139,2011-05-20
140,2011-05-21
141,2011-05-22
142,2011-05-23
143,2011-05-24
144,2011-05-25
145,2011-05-26
146,2011-05-27
147,2011-05-28
148,2011-05-29
149,2011-05-30
150,2011-05-31
151,2011-06-01
152,2011-06-02
153,2011-06-03
154,2011-06-04
155,2011-06-05
156,2011-06-06
157,2011-06-07
158,2011-06-08
159,2011-06-09
160,2011-06-10
161,2011-06-11
162,2011-06-12
163,2011-06-13
164,2011-06-14
165,2011-06-15
166,2011-06-16
167,2011-06-17
168,2011-06-18
169,2011-06-19
170,2011-06-20
171,2011-06-21
172,2011-06-22
173,2011-06-23
174,2011-06-24
175,2011-06-25
176,2011-06-26
177,2011-06-27
178,2011-06-28
179,2011-06-29
180,2011-06-30
181,2011-07-01
182,2011-07-02
183,2011-07-03
184,2011-07-04
185,2011-07-05
186,2011-07-06
187,2011-07-07
188,2011-07-08
189,2011-07-09
190,2011-07-10
191,2011-07-11
192,2011-07-12
193,2011-07-13
194,2011-07-14
195,2011-07-15
196,2011-07-16
197,2011-07-17
198,2011-07-18
